Year,Term,YearTerm,Subject,Number,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
2021,Spring,2021-sp,AAS,100,Intro Asian American Studies,OD,14,9,0,2,2,0,0,0,1,1,0,1,0,0,"Boonsripaisal, Simon"
2021,Spring,2021-sp,AAS,100,Intro Asian American Studies,OD,12,8,1,2,0,2,0,1,0,0,0,0,3,0,"Boonsripaisal, Simon"
2021,Spring,2021-sp,AAS,100,Intro Asian American Studies,OD,0,13,8,1,3,0,1,0,0,0,1,0,1,0,"Guruparan, Akil"
2021,Spring,2021-sp,AAS,100,Intro Asian American Studies,OD,0,11,8,2,3,1,0,0,0,0,0,0,1,0,"Guruparan, Akil"
2021,Spring,2021-sp,AAS,100,Intro Asian American Studies,OD,1,8,5,4,1,1,0,0,1,0,0,0,2,0,"Kang, Yoonjung"
2021,Spring,2021-sp,AAS,100,Intro Asian American Studies,OD,2,4,11,4,5,0,0,0,0,0,1,0,0,0,"Kang, Yoonjung"
2021,Spring,2021-sp,AAS,100,Intro Asian American Studies,OD,2,19,1,1,2,0,0,1,0,0,0,0,1,0,"Wang, Yu"
2021,Spring,2021-sp,AAS,100,Intro Asian American Studies,OD,3,19,1,2,1,0,1,1,0,0,0,0,1,0,"Wang, Yu"
2021,Spring,2021-sp,AAS,100,Intro Asian American Studies,OD,3,18,2,0,1,0,3,1,0,0,1,0,0,0,"Horton, Christina M"
2021,Spring,2021-sp,AAS,100,Intro Asian American Studies,OD,4,16,2,1,1,0,2,2,0,0,0,0,0,0,"Horton, Christina M"
2021,Spring,2021-sp,AAS,215,US Citizenship Comparatively,ONL,7,0,8,8,1,1,2,0,0,1,2,0,1,0,"Tabares, Leland"
2021,Spring,2021-sp,AAS,246,Asian American Youth in Film,ONL,23,11,0,0,0,0,0,0,0,0,0,0,1,0,"Kwon, Soo Ah"
2021,Spring,2021-sp,AAS,258,Muslims in America,ONL,1,16,4,1,0,0,0,0,1,0,1,1,0,0,"Rana, Junaid"
2021,Spring,2021-sp,ABE,225,ABE Principles: Bioenvironment,OLC,3,5,3,7,4,0,2,1,0,0,0,1,0,0,"Zhang, Yuanhui"
2021,Spring,2021-sp,ABE,226,ABE Principles: Bioprocessing,OLC,3,2,5,3,2,4,0,0,1,0,1,1,1,0,"Singh, Vijay"
2021,Spring,2021-sp,ABE,425,Engrg Measurement Systems,OLC,11,26,0,0,1,0,0,0,0,0,0,0,0,0,"Grift, Tony E"
2021,Spring,2021-sp,ABE,457,NPS Pollution Processes,ONL,1,12,7,4,2,1,1,0,1,0,0,0,0,0,"Bhattarai, Rabin"
2021,Spring,2021-sp,ABE,469,Industry-Linked Design Project,OD,4,15,5,3,1,0,0,0,0,0,0,0,0,0,"Witmer, Ann-Perry"
